statename,districtname,blockname,season,sector,category,crop,querytype,querytext,createdon,year,month,clean_query
MAHARASHTRA,NAGPUR,PAUNI,,HORTICULTURE,Market,Others,Weather,Farmer asked about market rate of Sugarcane?,2025-03-09T14:36:00,2025,3,farmer asked about market rate of sugarcane
UTTAR PRADESH,LUCKNOW,SAKOLI,,HORTICULTURE,Scheme,Others,Nutrient Management,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-02-26T00:15:00,2025,2,farmer asked about drip irrigation schemes 
MADHYA PRADESH,UJJAIN,MOHADI,,AGRICULTURE,Nutrient,Others,Seeds,Farmer asked about fertilizer dose for Maize?,2025-03-15T03:08:00,2025,3,farmer asked about fertilizer dose for maize
MAHARASHTRA,YAVATMAL,SAKOLI,,HORTICULTURE,Other,Others,Plant Protection,Farmer asked about crop insurance for Sugarcane?,2025-03-13T06:55:00,2025,3,farmer asked about crop insurance for sugarcane
UTTAR PRADESH,KANPUR,PAUNI,,HORTICULTURE,Nutrient,Others,Market,Farmer asked about nutrient spray for flowering in Maize?,2025-03-10T15:40:00,2025,3,farmer asked about nutrient spray for flowering in maize
MAHARASHTRA,AKOLA,MOHADI,,HORTICULTURE,Other,Others,Weather,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-03-01T23:40:00,2025,3,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
MAHARASHTRA,LATUR,RALEGAON,,HORTICULTURE,Nutrient,Others,Weather,Farmer asked about fertilizer dose for Maize?,2025-02-07T15:28:00,2025,2,farmer asked about fertilizer dose for maize
MAHARASHTRA,AKOLA,PAUNI,,HORTICULTURE,Other,Others,Plant Protection,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-02-24T16:03:00,2025,2,farmer asked about spray for control of aphids jassids thrips whitefly attack on crop 
MAHARASHTRA,WARDHA,MOHADI,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about post harvest management in turmeric seed storage ?,2025-02-07T19:30:00,2025,2,farmer asked about post harvest management in turmeric seed storage 
MADHYA PRADESH,BHOPAL,UMARKHED,,AGRICULTURE,Market,Others,Nutrient Management,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-01-05T08:58:00,2025,1,farmer asked about market rate of bengal gram
MADHYA PRADESH,INDORE,UMARKHED,,HORTICULTURE,Other,Others,Weather,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-01-30T13:52:00,2025,1,farmer asked about farmer id card problem
KARNATAKA,MYSURU,RALEGAON,,HORTICULTURE,Other,Others,Nutrient Management,Farmer asked about weed management in Watermelon?,2025-03-01T22:43:00,2025,3,farmer asked about weed management in watermelon
TELANGANA,WARANGAL,SAKOLI,,AGRICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK ON PADDY CROP ?,2025-02-17T11:23:00,2025,2,farmer asked about control of blight attack on paddy crop 
MADHYA PRADESH,UJJAIN,SAKOLI,,AGRICULTURE,Nutrient,Others,Market,FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR INCREASING SIZE AND QUALITY OF ONION ?,2025-01-16T18:57:00,2025,1,farmer asked about use of nutrient application through spray for increasing size and quality of onion 
TELANGANA,WARANGAL,PUSAD,,HORTICULTURE,Other,Others,Seeds,Farmer asked about suitable variety for Sugarcane?,2025-01-21T11:08:00,2025,1,farmer asked about suitable variety for sugarcane
KARNATAKA,BELAGAVI,RALEGAON,,AGRICULTURE,Nutrient,Others,Nutrient Management,Farmer asked about fertilizer dose for Green gram?,2025-01-04T08:34:00,2025,1,farmer asked about fertilizer dose for green gram
TELANGANA,KARIMNAGAR,UMARKHED,,HORTICULTURE,Other,Others,Weather,Farmer asked about storage method for Soybean?,2025-02-19T02:33:00,2025,2,farmer asked about storage method for soybean
KARNATAKA,HUBBALLI,PUSAD,,HORTICULTURE,Other,Others,Weather,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-02-11T12:52:00,2025,2,farmer asked about spray for control of aphids jassids thrips whitefly attack on crop 
TELANGANA,WARANGAL,PAUNI,,AGRICULTURE,Market,Others,Market,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-03-12T16:46:00,2025,3,farmer asked about market rate of bengal gram
MAHARASHTRA,NAGPUR,SAKOLI,,AGRICULTURE,Other,Others,Weather,FARMER ASKED ABOUT AGRISTACK HELPLINE NUMBER ?,2025-01-07T17:40:00,2025,1,farmer asked about agristack helpline number 
MAHARASHTRA,WARDHA,SAKOLI,,AGRICULTURE,Scheme,Others,Nutrient Management,Farmer asked about government subsidy for Bengal gram?,2025-03-15T03:22:00,2025,3,farmer asked about government subsidy for bengal gram
UTTAR PRADESH,KANPUR,PAUNI,,AGRICULTURE,Nutrient,Others,Nutrient Management,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-03-09T07:08:00,2025,3,farmer asked about fertilizer dose for soybean crop
MADHYA PRADESH,UJJAIN,UMARKHED,,HORTICULTURE,Scheme,Others,Plant Protection,Farmer asked about government subsidy for Tomato?,2025-03-23T21:40:00,2025,3,farmer asked about government subsidy for tomato
UTTAR PRADESH,MEERUT,RALEGAON,,AGRICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-01-05T15:48:00,2025,1,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
UTTAR PRADESH,MEERUT,UMARKHED,,HORTICULTURE,Nutrient,Others,Seeds,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-01-20T09:35:00,2025,1,farmer asked about fertilizer dose for soybean crop
TELANGANA,WARANGAL,RALEGAON,,AGRICULTURE,Nutrient,Others,Market,FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR INCREASING SIZE AND QUALITY OF ONION ?,2025-02-25T09:46:00,2025,2,farmer asked about use of nutrient application through spray for increasing size and quality of onion 
MADHYA PRADESH,UJJAIN,SAKOLI,,AGRICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-02-06T12:41:00,2025,2,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
UTTAR PRADESH,LUCKNOW,UMARKHED,,AGRICULTURE,Nutrient,Others,Plant Protection,Farmer asked about fertilizer dose for Soybean?,2025-02-27T15:39:00,2025,2,farmer asked about fertilizer dose for soybean
TELANGANA,KARIMNAGAR,UMARKHED,,HORTICULTURE,Other,Others,Weather,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-02-22T00:47:00,2025,2,farmer asked about spray for control of aphids jassids thrips whitefly attack on crop 
UTTAR PRADESH,MEERUT,PAUNI,,AGRICULTURE,Other,Others,Plant Protection,FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK ON PADDY CROP ?,2025-01-05T20:50:00,2025,1,farmer asked about control of blight attack on paddy crop 
UTTAR PRADESH,KANPUR,PAUNI,,AGRICULTURE,Nutrient,Others,Government Schemes,Farmer asked about nutrient spray for flowering in Onion?,2025-02-15T19:58:00,2025,2,farmer asked about nutrient spray for flowering in onion
MAHARASHTRA,NAGPUR,UMARKHED,,HORTICULTURE,Other,Others,Seeds,FARMER ASKED ABOUT SOWING TIME TURMERIC CROP?,2025-02-02T03:37:00,2025,2,farmer asked about sowing time turmeric crop
MAHARASHTRA,AKOLA,SAKOLI,,HORTICULTURE,Other,Others,Weather,FARMER ASKED ABOUT HARVESTIN TIME OF GROUNDNUT?,2025-01-09T23:34:00,2025,1,farmer asked about harvestin time of groundnut
MADHYA PRADESH,UJJAIN,RALEGAON,,AGRICULTURE,Other,Others,Seeds,Farmer asked about sowing time of Pigeon pea?,2025-03-02T15:26:00,2025,3,farmer asked about sowing time of pigeon pea
MAHARASHTRA,NAGPUR,MOHADI,,HORTICULTURE,Other,Others,Weather,FARMER ASKED ABOUT AGRISTACK HELPLINE NUMBER ?,2025-01-15T01:33:00,2025,1,farmer asked about agristack helpline number 
MADHYA PRADESH,BHOPAL,PAUNI,,HORTICULTURE,Market,Others,Nutrient Management,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-02-26T14:55:00,2025,2,farmer asked about market rate of tur in latur market
TELANGANA,WARANGAL,SAKOLI,,AGRICULTURE,Market,Others,Weather,FARMER ASKED ABOUT MARKET RATE OF GREEN GRAM IN PUSAD MARKET ?,2025-01-03T13:49:00,2025,1,farmer asked about market rate of green gram in pusad market 
MADHYA PRADESH,UJJAIN,PUSAD,,HORTICULTURE,Other,Others,Seeds,Farmer asked about sowing time of Bengal gram?,2025-01-14T18:46:00,2025,1,farmer asked about sowing time of bengal gram
UTTAR PRADESH,KANPUR,MOHADI,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about irrigation schedule for Chilli?,2025-02-09T08:47:00,2025,2,farmer asked about irrigation schedule for chilli
MAHARASHTRA,NAGPUR,MOHADI,,AGRICULTURE,Weather,Others,Weather,Farmer asked about weather impact on Soybean?,2025-02-08T02:06:00,2025,2,farmer asked about weather impact on soybean
UTTAR PRADESH,MEERUT,PUSAD,,AGRICULTURE,Nutrient,Others,Market,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-03-04T03:11:00,2025,3,farmer asked about fertilizer doses for citrus crop 
TELANGANA,KARIMNAGAR,SAKOLI,,AGRICULTURE,Nutrient,Others,Nutrient Management,Farmer asked about nutrient spray for flowering in Pigeon pea?,2025-02-16T10:43:00,2025,2,farmer asked about nutrient spray for flowering in pigeon pea
KARNATAKA,MYSURU,PAUNI,,HORTICULTURE,Other,Others,Nutrient Management,Farmer asked about weed management in Pigeon pea?,2025-02-14T04:23:00,2025,2,farmer asked about weed management in pigeon pea
KARNATAKA,HUBBALLI,PAUNI,,HORTICULTURE,Other,Others,Plant Protection,Farmer asked about post harvest management in turmeric seed storage ?,2025-03-08T19:36:00,2025,3,farmer asked about post harvest management in turmeric seed storage 
TELANGANA,WARANGAL,UMARKHED,,AGRICULTURE,Pest,Others,Nutrient Management,Farmer asked about pest control in Sesame?,2025-02-16T06:40:00,2025,2,farmer asked about pest control in sesame
UTTAR PRADESH,MEERUT,PAUNI,,AGRICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT HARVESTIN TIME OF GROUNDNUT?,2025-03-22T03:24:00,2025,3,farmer asked about harvestin time of groundnut
KARNATAKA,HUBBALLI,UMARKHED,,AGRICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER?,2025-01-28T23:28:00,2025,1,farmer asked about pradhanmantri fasal bima yojana helpline number
TELANGANA,KARIMNAGAR,PAUNI,,AGRICULTURE,Nutrient,Others,Nutrient Management,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-02-14T19:26:00,2025,2,farmer asked about fertilizer doses for citrus crop 
UTTAR PRADESH,LUCKNOW,RALEGAON,,HORTICULTURE,Other,Others,Weather,FARMER ASKED ABOUT AGRISTACK HELPLINE NUMBER ?,2025-03-24T15:05:00,2025,3,farmer asked about agristack helpline number 
MAHARASHTRA,LATUR,RALEGAON,,HORTICULTURE,Scheme,Others,Market,Farmer asked about government subsidy for Cotton?,2025-03-06T17:12:00,2025,3,farmer asked about government subsidy for cotton
MAHARASHTRA,WARDHA,MOHADI,,HORTICULTURE,Other,Others,Weather,Farmer asked about weed management in Sesame?,2025-01-26T12:08:00,2025,1,farmer asked about weed management in sesame
KARNATAKA,MYSURU,RALEGAON,,AGRICULTURE,Other,Others,Seeds,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-01-02T03:46:00,2025,1,farmer asked about farmer id card problem
KARNATAKA,BELAGAVI,MOHADI,,HORTICULTURE,Other,Others,Government Schemes,Farmer asked about storage method for Soybean?,2025-02-18T17:53:00,2025,2,farmer asked about storage method for soybean
TELANGANA,KARIMNAGAR,RALEGAON,,HORTICULTURE,Other,Others,Seeds,Farmer asked about crop insurance for Rice?,2025-01-01T19:08:00,2025,1,farmer asked about crop insurance for rice
MAHARASHTRA,YAVATMAL,PUSAD,,HORTICULTURE,Scheme,Others,Weather,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-02-11T01:37:00,2025,2,farmer asked about drip irrigation schemes 
MAHARASHTRA,YAVATMAL,RALEGAON,,HORTICULTURE,Pest,Others,Seeds,Farmer asked about disease management in Sesame?,2025-01-06T19:16:00,2025,1,farmer asked about disease management in sesame
TELANGANA,WARANGAL,UMARKHED,,HORTICULTURE,Other,Others,Nutrient Management,Farmer asked about storage method for Cotton?,2025-02-02T10:42:00,2025,2,farmer asked about storage method for cotton
UTTAR PRADESH,LUCKNOW,PUSAD,,HORTICULTURE,Market,Others,Nutrient Management,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-03-22T19:19:00,2025,3,farmer asked about market rate of bengal gram
KARNATAKA,MYSURU,SAKOLI,,HORTICULTURE,Pest,Others,Nutrient Management,Farmer asked about disease management in Green gram?,2025-01-18T13:12:00,2025,1,farmer asked about disease management in green gram
MAHARASHTRA,NAGPUR,RALEGAON,,HORTICULTURE,Other,Others,Seeds,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-03-17T08:02:00,2025,3,farmer asked about spray for control of aphids jassids thrips whitefly attack on crop 
MAHARASHTRA,LATUR,UMARKHED,,HORTICULTURE,Market,Others,Nutrient Management,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-01-01T05:12:00,2025,1,farmer asked about market rate of tur in latur market
KARNATAKA,MYSURU,MOHADI,,HORTICULTURE,Weather,Others,Nutrient Management,Farmer asked query on Weather,2025-01-06T01:20:00,2025,1,farmer asked query on weather
MADHYA PRADESH,INDORE,PUSAD,,HORTICULTURE,Nutrient,Others,Seeds,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-01-18T08:00:00,2025,1,farmer asked about fertilizer dose for soybean crop
UTTAR PRADESH,LUCKNOW,SAKOLI,,AGRICULTURE,Other,Others,Market,Farmer asked about post harvest management in turmeric seed storage ?,2025-01-03T01:30:00,2025,1,farmer asked about post harvest management in turmeric seed storage 
MAHARASHTRA,YAVATMAL,PAUNI,,HORTICULTURE,Other,Others,Seeds,Farmer asked about sowing time of Pigeon pea?,2025-01-05T20:06:00,2025,1,farmer asked about sowing time of pigeon pea
UTTAR PRADESH,KANPUR,SAKOLI,,HORTICULTURE,Nutrient,Others,Seeds,Farmer asked about fertilizer dose for Cotton?,2025-01-13T02:49:00,2025,1,farmer asked about fertilizer dose for cotton
KARNATAKA,BELAGAVI,SAKOLI,,HORTICULTURE,Scheme,Others,Government Schemes,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-02-06T17:20:00,2025,2,farmer asked about drip irrigation schemes 
KARNATAKA,MYSURU,PUSAD,,AGRICULTURE,Nutrient,Others,Market,Farmer asked about fertilizer dose for Rice?,2025-01-21T02:29:00,2025,1,farmer asked about fertilizer dose for rice
TELANGANA,WARANGAL,PUSAD,,AGRICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT AGRISTACK HELPLINE NUMBER ?,2025-01-06T08:41:00,2025,1,farmer asked about agristack helpline number 
UTTAR PRADESH,MEERUT,SAKOLI,,AGRICULTURE,Other,Others,Seeds,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER?,2025-01-08T09:03:00,2025,1,farmer asked about pradhanmantri fasal bima yojana helpline number
MAHARASHTRA,AKOLA,RALEGAON,,HORTICULTURE,Weather,Others,Seeds,Farmer asked about weather impact on Tomato?,2025-02-06T01:40:00,2025,2,farmer asked about weather impact on tomato
TELANGANA,KARIMNAGAR,PUSAD,,AGRICULTURE,Other,Others,Plant Protection,Farmer asked about suitable variety for Orange?,2025-01-30T14:04:00,2025,1,farmer asked about suitable variety for orange
UTTAR PRADESH,LUCKNOW,SAKOLI,,HORTICULTURE,Other,Others,Market,Farmer asked about irrigation schedule for Soybean?,2025-03-22T20:53:00,2025,3,farmer asked about irrigation schedule for soybean
MAHARASHTRA,YAVATMAL,UMARKHED,,HORTICULTURE,Nutrient,Others,Seeds,Farmer asked about fertilizer dose for Wheat?,2025-03-09T15:16:00,2025,3,farmer asked about fertilizer dose for wheat
MAHARASHTRA,LATUR,SAKOLI,,AGRICULTURE,Other,Others,Plant Protection,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-01-15T14:44:00,2025,1,farmer asked about farmer id card problem
MADHYA PRADESH,BHOPAL,UMARKHED,,HORTICULTURE,Other,Others,Government Schemes,Farmer asked about storage method for Orange?,2025-03-13T01:28:00,2025,3,farmer asked about storage method for orange
MAHARASHTRA,WARDHA,UMARKHED,,AGRICULTURE,Other,Others,Seeds,FARMER ASKED ABOUT AGRISTACK HELPLINE NUMBER ?,2025-02-01T00:21:00,2025,2,farmer asked about agristack helpline number 
MAHARASHTRA,NAGPUR,SAKOLI,,AGRICULTURE,Other,Others,Plant Protection,FARMER ASKED ABOUT KISAN CREDIT CARD?,2025-01-24T03:07:00,2025,1,farmer asked about kisan credit card
KARNATAKA,MYSURU,MOHADI,,AGRICULTURE,Weather,Others,Market,Farmer asked query on Weather,2025-01-21T06:36:00,2025,1,farmer asked query on weather
MADHYA PRADESH,INDORE,RALEGAON,,AGRICULTURE,Other,Others,Nutrient Management,Farmer asked about weed management in Wheat?,2025-01-13T17:45:00,2025,1,farmer asked about weed management in wheat
MAHARASHTRA,YAVATMAL,PAUNI,,AGRICULTURE,Other,Others,Seeds,FARMER ASKED ABOUT KISAN CREDIT CARD?,2025-03-11T07:47:00,2025,3,farmer asked about kisan credit card
TELANGANA,KARIMNAGAR,SAKOLI,,AGRICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-03-19T22:41:00,2025,3,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
MADHYA PRADESH,BHOPAL,PUSAD,,AGRICULTURE,Other,Others,Nutrient Management,Farmer asked about storage method for Sugarcane?,2025-02-24T07:20:00,2025,2,farmer asked about storage method for sugarcane
MAHARASHTRA,NAGPUR,MOHADI,,HORTICULTURE,Other,Others,Weather,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-01-03T12:02:00,2025,1,farmer asked about spray for control of aphids jassids thrips whitefly attack on crop 
MAHARASHTRA,WARDHA,PUSAD,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about crop insurance for Cotton?,2025-03-07T01:05:00,2025,3,farmer asked about crop insurance for cotton
TELANGANA,KARIMNAGAR,MOHADI,,HORTICULTURE,Nutrient,Others,Weather,Farmer asked about fertilizer dose for Rice?,2025-03-12T04:26:00,2025,3,farmer asked about fertilizer dose for rice
UTTAR PRADESH,KANPUR,SAKOLI,,AGRICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT WHICH VARIETIES ARE SUTAIBLE FOR PIGEON PEA CROP PRODUCTION ?,2025-01-31T08:57:00,2025,1,farmer asked about which varieties are sutaible for pigeon pea crop production 
KARNATAKA,HUBBALLI,PUSAD,,AGRICULTURE,Other,Others,Weather,FARMER ASKED ABOUT KISAN CREDIT CARD?,2025-02-18T16:25:00,2025,2,farmer asked about kisan credit card
MAHARASHTRA,WARDHA,RALEGAON,,HORTICULTURE,Pest,Others,Government Schemes,Farmer asked about pest control in Wheat?,2025-02-01T07:19:00,2025,2,farmer asked about pest control in wheat
KARNATAKA,HUBBALLI,PUSAD,,HORTICULTURE,Other,Others,Seeds,Farmer asked about storage method for Groundnut?,2025-02-15T09:24:00,2025,2,farmer asked about storage method for groundnut
MADHYA PRADESH,BHOPAL,PAUNI,,HORTICULTURE,Other,Others,Weather,Farmer asked about post harvest management in turmeric seed storage ?,2025-01-13T10:37:00,2025,1,farmer asked about post harvest management in turmeric seed storage 
UTTAR PRADESH,LUCKNOW,MOHADI,,HORTICULTURE,Other,Others,Government Schemes,Farmer asked about crop insurance for Groundnut?,2025-03-08T16:00:00,2025,3,farmer asked about crop insurance for groundnut
TELANGANA,KARIMNAGAR,UMARKHED,,HORTICULTURE,Other,Others,Seeds,Farmer asked about crop insurance for Watermelon?,2025-03-07T13:39:00,2025,3,farmer asked about crop insurance for watermelon
MADHYA PRADESH,INDORE,PUSAD,,HORTICULTURE,Scheme,Others,Weather,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-03-07T14:44:00,2025,3,farmer asked about drip irrigation schemes 
TELANGANA,KARIMNAGAR,UMARKHED,,HORTICULTURE,Other,Others,Government Schemes,Farmer asked about irrigation schedule for Orange?,2025-02-02T12:10:00,2025,2,farmer asked about irrigation schedule for orange
MAHARASHTRA,WARDHA,UMARKHED,,AGRICULTURE,Other,Others,Seeds,Farmer asked about irrigation schedule for Sesame?,2025-03-18T05:14:00,2025,3,farmer asked about irrigation schedule for sesame
MADHYA PRADESH,BHOPAL,SAKOLI,,AGRICULTURE,Other,Others,Nutrient Management,Farmer asked about post harvest management in turmeric seed storage ?,2025-03-09T15:34:00,2025,3,farmer asked about post harvest management in turmeric seed storage 
MADHYA PRADESH,BHOPAL,PUSAD,,HORTICULTURE,Nutrient,Others,Seeds,Farmer asked about fertilizer dose for Wheat?,2025-02-03T06:50:00,2025,2,farmer asked about fertilizer dose for wheat
TELANGANA,KARIMNAGAR,RALEGAON,,AGRICULTURE,Other,Others,Government Schemes,Farmer asked about post harvest management in turmeric seed storage ?,2025-03-03T12:40:00,2025,3,farmer asked about post harvest management in turmeric seed storage 
KARNATAKA,BELAGAVI,MOHADI,,HORTICULTURE,Weather,Others,Weather,Farmer asked about weather impact on Chilli?,2025-02-26T02:45:00,2025,2,farmer asked about weather impact on chilli
MAHARASHTRA,NAGPUR,UMARKHED,,AGRICULTURE,Other,Others,Seeds,Farmer asked about weed management in Chilli?,2025-02-04T01:31:00,2025,2,farmer asked about weed management in chilli
MAHARASHTRA,AKOLA,PAUNI,,AGRICULTURE,Other,Others,Weather,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER?,2025-02-17T00:38:00,2025,2,farmer asked about pradhanmantri fasal bima yojana helpline number
TELANGANA,KARIMNAGAR,MOHADI,,AGRICULTURE,Market,Others,Plant Protection,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-01-24T13:19:00,2025,1,farmer asked about market rate of tur in latur market
MAHARASHTRA,LATUR,PAUNI,,AGRICULTURE,Weather,Others,Market,Farmer asked about weather impact on Orange?,2025-02-07T07:28:00,2025,2,farmer asked about weather impact on orange
TELANGANA,KARIMNAGAR,SAKOLI,,HORTICULTURE,Nutrient,Others,Market,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-01-16T22:21:00,2025,1,farmer asked about fertilizer dose for soybean crop
MAHARASHTRA,NAGPUR,PUSAD,,AGRICULTURE,Nutrient,Others,Government Schemes,Farmer asked about fertilizer dose for Cotton?,2025-03-07T09:06:00,2025,3,farmer asked about fertilizer dose for cotton
TELANGANA,KARIMNAGAR,SAKOLI,,AGRICULTURE,Market,Others,Weather,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-01-08T14:47:00,2025,1,farmer asked about market rate of tur in latur market
TELANGANA,WARANGAL,RALEGAON,,AGRICULTURE,Market,Others,Nutrient Management,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-02-10T21:59:00,2025,2,farmer asked about market rate of tur in latur market
MADHYA PRADESH,INDORE,PAUNI,,HORTICULTURE,Other,Others,Nutrient Management,FARMER ASKED ABOUT CONTROL BLIGHT ATTACK IN GREEN GRAM ?,2025-03-23T18:35:00,2025,3,farmer asked about control blight attack in green gram 
KARNATAKA,BELAGAVI,PAUNI,,AGRICULTURE,Scheme,Others,Government Schemes,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-01-02T20:42:00,2025,1,farmer asked about drip irrigation schemes 
TELANGANA,WARANGAL,PUSAD,,HORTICULTURE,Nutrient,Others,Government Schemes,Farmer asked about nutrient spray for flowering in Onion?,2025-01-28T01:28:00,2025,1,farmer asked about nutrient spray for flowering in onion
MAHARASHTRA,AKOLA,RALEGAON,,AGRICULTURE,Other,Others,Weather,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-03-13T03:16:00,2025,3,farmer asked about status of pradhanmantri kisan sanman nidhi yojana 
TELANGANA,KARIMNAGAR,SAKOLI,,HORTICULTURE,Other,Others,Nutrient Management,Farmer asked about sowing time of Chilli?,2025-03-01T23:14:00,2025,3,farmer asked about sowing time of chilli
KARNATAKA,BELAGAVI,RALEGAON,,AGRICULTURE,Nutrient,Others,Weather,Farmer asked about nutrient spray for flowering in Chilli?,2025-03-06T11:42:00,2025,3,farmer asked about nutrient spray for flowering in chilli
MAHARASHTRA,NAGPUR,UMARKHED,,AGRICULTURE,Other,Others,Market,FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK ON PADDY CROP ?,2025-01-11T12:19:00,2025,1,farmer asked about control of blight attack on paddy crop 
TELANGANA,KARIMNAGAR,PUSAD,,HORTICULTURE,Nutrient,Others,Seeds,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-01-28T19:18:00,2025,1,farmer asked about fertilizer doses for citrus crop 
KARNATAKA,BELAGAVI,SAKOLI,,HORTICULTURE,Nutrient,Others,Market,FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR INCREASING SIZE AND QUALITY OF ONION ?,2025-01-18T04:47:00,2025,1,farmer asked about use of nutrient application through spray for increasing size and quality of onion 
KARNATAKA,BELAGAVI,UMARKHED,,HORTICULTURE,Pest,Others,Seeds,Farmer asked about pest control in Tomato?,2025-02-14T15:40:00,2025,2,farmer asked about pest control in tomato
MAHARASHTRA,NAGPUR,PAUNI,,AGRICULTURE,Other,Others,Government Schemes,FARMER ASKED ABOUT SOWING TIME TURMERIC CROP?,2025-02-04T05:32:00,2025,2,farmer asked about sowing time turmeric crop
UTTAR PRADESH,MEERUT,SAKOLI,,HORTICULTURE,Market,Others,Government Schemes,FARMER ASKED ABOUT MARKET RATE OF TURMERIC CROP?,2025-03-12T02:03:00,2025,3,farmer asked about market rate of turmeric crop
MAHARASHTRA,NAGPUR,MOHADI,,AGRICULTURE,Weather,Others,Market,Farmer asked query on Weather,2025-03-18T07:25:00,2025,3,farmer asked query on weather
TELANGANA,WARANGAL,PAUNI,,HORTICULTURE,Market,Others,Government Schemes,FARMER ASKED ABOUT MARKET INFORMATION OF SOYBEAN CROP FROM WARDHA MARKET ?,2025-03-01T17:58:00,2025,3,farmer asked about market information of soybean crop from wardha market 
MADHYA PRADESH,INDORE,UMARKHED,,AGRICULTURE,Nutrient,Others,Weather,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-03-06T12:08:00,2025,3,farmer asked about fertilizer doses for citrus crop 
